Character Sprites
=================
c10e InsectLeft1, Address = 0xc10e, Width = 3, HeightInPixels = 18, SpriteData = 02 10 00 04 60 00 05 80 00 05 3e 00 02 40 00 01 80 00 33 8f 8e da b8 d9 7d e7 b0 7f ff b0 db bf d9 33 8f 8e 01 80 00 02 c0 00 05 3c 00 05 80 00 03 60 00 02 10 00 
c69e SabreManSwordLeft5, Address = 0xc69e, Width = 3, HeightInPixels = 21, SpriteData = 00 0f 80 00 1c c0 00 eb a0 80 33 a0 40 0c a0 20 13 20 10 6c e0 0a 7f 30 04 1f 80 0a 00 00 03 7f e0 01 bf d8 01 df 98 00 1f b0 00 00 20 00 1f 80 00 3f c0 00 0d 80 00 30 40 00 70 e0 01 e0 78 
c6df SabreManSwordLeft6, Address = 0xc6df, Width = 3, HeightInPixels = 21, SpriteData = 01 01 f0 01 03 98 01 1d 74 01 06 74 01 01 94 01 02 64 01 0d 9c 03 8f e6 00 03 f0 01 80 00 01 df f8 00 ef f4 00 77 ee 00 07 e3 00 00 03 00 03 f0 00 07 f8 00 01 b0 00 06 08 00 0e 1c 00 3c 0f 
c720 SabreManWalkingRight1, Address = 0xc720, Width = 2, HeightInPixels = 21, SpriteData = 07 c0 0c e0 17 5c 17 30 14 c0 13 20 1c d8 33 f8 07 e0 20 00 74 40 24 e0 2c 60 2e 00 20 80 2f e0 27 40 0e e0 10 08 1c 78 0e 70 
c74c SabreManRight, Address = 0xc74c, Width = 2, HeightInPixels = 22, SpriteData = 07 c0 0c e0 17 5c 17 30 14 20 13 20 1c d8 33 f8 07 e0 20 00 76 40 2c 60 2c e0 2c e0 22 00 2e 60 27 c0 03 c0 00 00 01 80 01 c0 01 e0 
c77a SabreManWalkingRight2, Address = 0xc77a, Width = 2, HeightInPixels = 21, SpriteData = 07 c0 0c e0 17 5c 17 30 14 c0 13 20 1c d8 33 f8 07 e0 20 00 74 40 21 e0 21 f0 2c f0 24 00 2f e0 25 c0 0e e0 10 08 1c 78 0e 70 
c7a6 SabreManSwordRight1, Address = 0xc7a6, Width = 3, HeightInPixels = 21, SpriteData = 03 e0 00 06 70 00 0b ae 00 0b 98 00 0a 60 00 09 90 00 0e 6c 00 19 fc 00 03 f0 00 00 00 00 07 fe 00 0b fd 00 1d fb 80 19 f9 c0 01 00 d0 01 f8 30 03 fc 70 01 b0 08 02 0c 04 07 18 02 1e 1e 01 
c7e7 SabreManSwordRight2, Address = 0xc7e7, Width = 3, HeightInPixels = 21, SpriteData = 0f 80 80 19 c0 80 2e b8 80 2e 60 80 29 80 80 26 40 80 39 b0 80 67 f1 c0 ff c0 00 00 01 80 1f fd 80 2f f7 00 77 ee 00 c7 e0 00 c0 00 00 0f c0 00 1f e0 00 0d 80 00 10 60 00 38 70 00 f0 3c 00 
c828 SabreManSwordRight3, Address = 0xc828, Width = 3, HeightInPixels = 21, SpriteData = 07 c0 00 0c e0 00 17 5c 00 17 30 00 14 c0 00 13 20 00 1c d8 00 33 f8 00 07 e0 00 80 00 00 df fa 00 6f f7 80 37 e0 c0 07 e1 00 00 00 c0 07 e1 00 0f f1 00 06 c1 00 08 32 00 06 62 00 1e 3a 00 
c869 SabreManSwordRight4, Address = 0xc869, Width = 3, HeightInPixels = 21, SpriteData = 07 c0 00 0c e0 00 17 ac 00 17 30 00 14 c0 00 13 20 00 1c d8 00 33 f8 00 07 e0 00 00 00 00 5f f8 00 6f f4 00 37 ec 00 27 e6 00 00 06 80 07 e2 80 0f f1 f0 06 c1 0f 0c 30 00 06 38 00 0f 1e 00 
c8aa SabreManSwordRight5, Address = 0xc8aa, Width = 3, HeightInPixels = 21, SpriteData = 01 f0 00 03 38 00 05 d7 00 05 cc 01 05 30 02 04 c8 04 07 36 08 0d fe 50 01 f8 20 00 00 50 07 fe c0 1b fd 80 19 fb 80 0d f8 00 04 00 00 01 f8 00 03 fc 00 01 b0 00 02 0c 00 07 0e 00 1e 07 80 
c8eb SabreManSwordRight6, Address = 0xc8eb, Width = 3, HeightInPixels = 21, SpriteData = 1f 00 00 33 80 00 5d 70 00 53 c0 00 53 00 00 4c 80 00 73 60 00 cf e0 00 1f 80 00 00 00 80 7f ee ff bf dc 80 df 80 00 df 00 00 80 00 00 0f c0 00 1f e0 00 1f e0 00 20 60 00 70 c0 00 e0 f0 00 
c92c RhinocerosRunningLeft2, Address = 0xc92c, Width = 4, HeightInPixels = 19, SpriteData = 80 00 00 00 c0 30 00 00 60 70 03 e0 7d f8 3f f8 1e 7f ff fc 0e 7f ff fe 3f ff ff fe 3b ff ff ff 07 ff ff ff 1f df fe ff 00 0f fd ff 00 1f 7d fe 00 3e fe fa 00 7e fe fc 00 fd f8 7e 03 f0 00 3f 03 e0 00 1f 01 c0 00 0e 00 80 00 0c 
c97a RhinocerosRunningLeft1, Address = 0xc97a, Width = 4, HeightInPixels = 19, SpriteData = 00 00 3f 00 80 00 ff c0 c0 33 ff f0 60 77 ff f8 7d ff ff fc 1e 7f ff fe 0e 7f ff fe 3f ff ff fe 3b ff ff fe 07 ff ff fe 1f df 7f 7e 00 1f 7f 7c 00 1f 7f 7c 00 1f 7e f8 00 1f bd f0 00 0f c3 e0 00 07 e7 c0 00 03 83 c0 00 03 01 80 
c9c8 RhinocerosRunningRight2, Address = 0xc9c8, Width = 4, HeightInPixels = 19, SpriteData = 00 00 00 01 00 00 0c 03 07 c0 0e 06 1f fc 1f be 3f ff fe 78 7f ff fe 70 7f ff ff fc ff ff ff dc ff ff ff e0 ff 7f fb f8 ff bf f0 00 7f be f8 00 5f 7f 7c 00 3f 7f 7e 00 7e 1f bf 00 fc 00 0f c0 f8 00 07 c0 70 00 03 80 30 00 01 00 
ca16 RhinocerosRunningRight1, Address = 0xca16, Width = 4, HeightInPixels = 19, SpriteData = 00 fc 00 00 03 ff 00 01 0f ff cc 03 1f ff ee 06 3f ff ff be 7f ff fe 78 7f ff fe 70 7f ff ff fc 7f ff ff dc 7f ff ff e0 7e fe fb f8 3e fe f8 00 3e fe f8 00 1f 7e f8 00 0f bd f8 00 07 c3 f0 00 03 e7 e0 00 03 c1 c0 00 01 80 c0 00 
ca64 HippopotamusSleeping, Address = 0xca64, Width = 3, HeightInPixels = 24, SpriteData = 01 ff 00 07 ff e0 0f ff f8 1f ff fc 3f ff fe 7f ff fe 7e ff ff 7f 7f ff ff 7f ff ff b9 ff ff b6 ff ff b6 e7 ff ef db ff 9b fd ff 79 7e fe ff 3c fe bf f0 fe ef cc bf 7f de 9f 73 b1 0f 0e 2f 00 3d de 00 03 ec 00 03 80 
caae HippopotamusRunningLeft1, Address = 0xcaae, Width = 4, HeightInPixels = 18, SpriteData = 00 e0 00 00 01 e0 0f c0 07 f0 ff f0 79 ff ff f8 d9 ff ff fc ff ff ff fc ef ff ff fe 1f ff ff fe 7f 7f fb ff 00 ff f7 fe 01 fd f7 ec 03 fb fb f4 07 fb fb f8 0f f3 e1 fc 1f c0 00 ff 0f 80 00 7e 07 00 00 3c 02 00 00 1c 
caf8 HippopotamusRunningLeft2, Address = 0xcaf8, Width = 4, HeightInPixels = 19, SpriteData = 00 00 fe 00 00 03 ff 80 00 e7 ff e0 01 f7 ff f0 07 ff ff f8 79 ff ff fc d9 ff ff fc ff ff ff fe ef ff ff fd 1f ff ff fd 7f 7d fe fc 00 fd f9 f8 00 fd f7 f8 00 fc f7 f0 00 fe 0f e0 00 ff 1f c0 00 7f 9f 80 00 3e 0f 80 00 1c 07 00 
cb46 HippopotamusRunningRight1, Address = 0xcb46, Width = 4, HeightInPixels = 18, SpriteData = 00 00 07 00 03 f0 07 80 0f ff 0f e0 1f ff ff 9e 3f ff ff 9b 3f ff ff ff 7f ff ff f7 7f ff ff f8 ff df fe fe 7f ef ff 00 37 ef bf 80 2f df df c0 1f df df e0 3f 87 cf f0 ff 00 03 f0 7e 00 01 f0 3c 00 00 e0 38 00 00 40 
cb90 HippopotamusRunningRight2, Address = 0xcb90, Width = 4, HeightInPixels = 19, SpriteData = 00 7f 00 00 01 ff c0 00 07 ff e7 00 0f ff ef 80 1f ff ff e0 3f ff ff 9e 3f ff ff 9b 7f ff ff ff bf ff ff f7 bf ff ff f8 3f 7f be fe 1f 9f bf 00 1f ef bf 00 0f ef 3f 00 07 f0 7f 00 03 f8 ff 00 01 f9 fe 00 01 f0 7c 00 00 e0 38 00 
cbde IndianLeft1, Address = 0xcbde, Width = 2, HeightInPixels = 23, SpriteData = 04 80 04 88 08 b0 0b e0 08 7c 12 a0 10 20 13 60 20 00 27 7f 37 6b 5f 63 57 a2 57 be 87 be c3 dc 81 c8 05 80 0d b0 0d f0 06 08 03 08 07 80 
cc0e IndianLeft2, Address = 0xcc0e, Width = 2, HeightInPixels = 23, SpriteData = 04 80 04 88 08 b0 0b e0 08 7c 12 a0 10 20 13 60 20 60 27 00 37 7f 57 6b 5f 6b 57 63 87 a2 c3 be 82 9c 06 c8 05 80 05 80 02 c0 00 40 05 c0 
cc3e IndianLeft3, Address = 0xcc3e, Width = 2, HeightInPixels = 23, SpriteData = 00 80 04 88 04 b0 08 e0 08 7c 0a a0 10 20 13 60 10 00 27 7f 27 6b 37 6b 5f 63 57 a2 47 be 83 d4 c3 88 87 00 0c b0 0d f0 06 10 03 10 07 80 
cc6e IndianRight1, Address = 0xcc6e, Width = 2, HeightInPixels = 23, SpriteData = 01 20 11 20 0d 10 07 d0 3e 10 05 48 04 08 06 c8 00 04 fe e4 d6 ec d6 ea c6 fa 45 ea 7d e1 3b c3 13 81 01 a0 0d b0 0f b0 10 60 10 c0 01 e0 
cc9e IndianRight2, Address = 0xcc9e, Width = 2, HeightInPixels = 23, SpriteData = 01 20 11 20 0d 10 07 d0 3e 10 05 48 04 08 06 c8 06 04 00 e4 fe ec d6 ea d6 fa c6 ea 45 e1 7d c3 39 14 13 60 01 a0 01 a0 03 40 02 00 03 a0 
ccce IndianRight3, Address = 0xccce, Width = 2, HeightInPixels = 23, SpriteData = 01 00 11 20 0d 20 07 10 3e 10 05 50 04 08 06 c8 00 08 fe e4 dc e4 dc ec c6 fa 45 ea 7d e2 1b c1 11 c3 00 e1 0d 30 0f b0 08 60 08 c0 01 e0 
ccfe SpiderLeft1, Address = 0xccfe, Width = 3, HeightInPixels = 21, SpriteData = 00 63 f0 02 66 18 07 6c 7c 0d 99 fc 18 d3 fc 00 5f fc 7f 80 f8 f1 ef 00 0e 6f f0 3f 88 fc 67 fe 1c 67 f7 8e 79 d9 c6 79 9c c7 3f 1c c3 00 18 c3 00 18 c0 00 38 c0 00 30 c0 00 30 c0 00 30 00 
cd3f SpiderLeft2, Address = 0xcd3f, Width = 3, HeightInPixels = 22, SpriteData = 00 60 00 00 63 f0 00 66 18 00 6c 7c 07 19 fc 1c d3 fc 3e 5f fc 27 00 f8 61 ee 00 4e 6f 80 3f 88 e0 67 df 38 67 d7 dc 79 d8 ec 79 98 6c 3f 18 64 00 03 34 00 03 34 00 03 30 00 03 00 00 03 00 00 03 00 
cd83 SpiderRight1, Address = 0xcd83, Width = 3, HeightInPixels = 21, SpriteData = 0f 36 00 18 66 40 3e 36 e0 3f 99 b0 3f cb 18 3f fa 00 1f 01 fe 00 f7 8f 0f f6 70 3f 11 fc 38 7f e6 71 ef e6 63 9b 9e e3 38 9e c3 38 fc c3 18 00 03 18 00 03 1c 00 03 0c 00 03 0c 00 00 0c 00 
cdc4 SpiderRight2, Address = 0xcdc4, Width = 3, HeightInPixels = 22, SpriteData = 00 06 00 0f c6 00 18 66 00 3e 36 00 3f 98 e0 3f cb 38 3a fa 7c 1f 00 e4 00 77 86 01 f6 72 07 11 ec 1c fb e6 2b eb e6 37 1b 9e 36 19 9e 26 18 fc 2c 30 00 2c 30 00 0c 30 00 00 30 00 00 30 00 00 30 00 
ce08 ScorpionLeft1, Address = 0xce08, Width = 3, HeightInPixels = 21, SpriteData = 00 00 e0 00 01 f0 00 01 e8 00 00 cc 00 03 9c 00 00 00 00 00 1c 00 00 1c 00 e0 3c 1f 2e ec 21 3f 70 43 ff b8 0c ff e0 13 bf 80 27 de f0 0b e9 c8 1e c4 28 13 84 24 06 04 20 00 08 00 00 08 00 
ce49 ScorpionLeft2, Address = 0xce49, Width = 3, HeightInPixels = 20, SpriteData = 00 00 e0 00 01 f0 00 01 ec 00 00 bc 00 03 9c 00 00 00 00 00 1c 03 c0 3c 04 2e ec 1f bf 70 23 7f b8 1c ff e0 23 bf 80 47 da e0 0b ed 90 1e c2 48 13 82 48 06 02 40 00 02 40 00 02 00 
ce87 ScorpionRight1, Address = 0xce87, Width = 3, HeightInPixels = 21, SpriteData = 07 00 00 0f 80 00 17 80 00 33 00 00 39 c0 00 00 00 00 38 00 00 38 00 00 3c 07 00 37 74 f8 0e fc 84 1d ff c2 07 ff 30 01 fd c8 0f 7b e4 13 97 d0 14 23 78 24 21 c8 04 20 60 00 10 00 00 10 00 
cec8 ScorpionRight2, Address = 0xcec8, Width = 3, HeightInPixels = 20, SpriteData = 07 00 00 0f 80 00 17 80 00 3b 00 00 39 c0 00 00 00 00 38 00 00 3c 03 c0 37 74 20 0e fd f8 1d fe c4 07 ff 38 01 fd c4 07 5b e2 09 b7 d0 12 43 78 12 41 c8 02 40 60 02 40 00 00 40 00 
cf06 WolfWalkingLeft1, Address = 0xcf06, Width = 4, HeightInPixels = 23, SpriteData = 01 00 00 00 03 00 00 00 03 00 00 00 0f 20 00 00 1f a8 00 00 07 7a 00 00 27 6a 3f 00 7f 97 ff c0 7d bb df e0 5b ff a9 b0 37 71 a7 78 03 8f 5f f8 02 fb df fc 00 7b df be 00 7a 3e 1e 00 bc 1e c7 01 dc 0f 77 03 cc 07 75 03 0e 0e 65 02 07 1c 61 06 01 98 61 0c 03 70 c0 0c 03 60 c0 
cf64 WolfWalkingLeft2, Address = 0xcf64, Width = 4, HeightInPixels = 23, SpriteData = 01 00 00 00 03 00 00 00 03 20 00 00 0f a8 00 00 1f fa 00 00 07 6a 3f 00 27 57 ff 80 7f fb df c0 ed ff a9 a0 5b 71 a7 70 37 8f 77 f8 03 fb b7 f8 02 bb ef fc 00 32 6f 3c 00 78 0f 9e 00 78 07 97 00 70 03 c7 00 70 00 e5 00 30 00 c5 00 30 01 81 00 30 03 01 00 60 0e 00 00 60 0c 00 
cfc2 WolfWalkingLeft3, Address = 0xcfc2, Width = 4, HeightInPixels = 23, SpriteData = 01 00 00 00 03 00 00 00 03 00 00 00 0f 20 00 00 1f a8 00 00 07 7a 00 00 27 6a 3f 00 7f 97 ff c0 ed bb df e0 5b ff a9 b0 37 71 a7 78 03 8f 7f f8 02 fb bf fc 00 bb ef bc 00 3a 6f 9e 00 f8 07 87 01 e4 0b f7 03 cc 05 f5 03 0e 0e 65 02 07 1c 61 06 01 98 61 0c 03 70 c0 0c 03 60 c0 
d020 WolfWalkingRight1, Address = 0xd020, Width = 4, HeightInPixels = 23, SpriteData = 00 00 00 80 00 00 00 c0 00 00 00 c0 00 00 04 f0 00 00 15 f8 00 00 5e e0 00 fc 56 e4 03 ff e9 fe 07 fb dd b7 0b 95 ff da 1e e5 8e ec 1f fa f1 c0 3f fd df 40 3d fd de 00 78 7c 5e 00 e3 78 3d 00 ee f0 3b 80 ae e0 33 c0 a6 70 70 c0 86 38 e0 40 86 19 80 60 03 0e c0 30 03 06 c0 30 
d07e WolfWalkingRight2, Address = 0xd07e, Width = 4, HeightInPixels = 23, SpriteData = 00 00 00 80 00 00 00 c0 00 00 04 c0 00 00 15 f0 00 00 5f f8 00 fc 56 e0 01 ff ea e4 03 f9 df fe 05 95 ff b7 0e e5 8e da 1f ee f1 ce 1f ed df c0 3f f7 dd 40 3c f6 5c 00 79 f0 1e 00 e9 e0 1e 00 e3 c0 0e 00 a7 00 0e 00 a3 00 0c 00 81 80 0c 00 80 c0 0c 00 00 07 06 00 00 30 06 00 
d0dc WolfWalkingRight3, Address = 0xd0dc, Width = 4, HeightInPixels = 23, SpriteData = 00 00 00 80 00 00 00 c0 00 00 00 c0 00 00 04 f0 00 00 15 f8 00 00 5e e0 00 fc 56 e4 03 ff e9 fe 07 fb dd b7 0d 95 ff da 1e e5 8e ec 1f fe f1 c0 3f fd df 40 3d f7 dd 00 79 f6 5c 00 e1 e0 1f 00 ef d0 27 80 af a0 33 c0 a6 70 70 c0 86 38 e0 40 86 19 80 60 03 0e c0 30 03 06 c0 30 
d13a WolfJumpingLeft1, Address = 0xd13a, Width = 4, HeightInPixels = 16, SpriteData = 00 00 00 f0 00 00 03 fc 00 00 0f fe 00 01 bf ff 00 95 7e 7f 00 b7 fd ff 01 66 7b f6 01 f9 b3 f2 0f e7 b7 f6 f9 ff 77 ed f9 fe f7 8d 8f f6 e3 c6 7f cd e1 e6 00 3d c1 eb 03 fb 0f 85 07 e0 7e 05 
d17c WolfJumpingRight1, Address = 0xd17c, Width = 4, HeightInPixels = 16, SpriteData = 0f 00 00 00 3f c0 00 00 7f f0 00 00 ff fd 80 00 fe 7f a9 00 ff bf ed 00 6f de 66 80 4f dd 9f 80 6f ed e7 f0 b7 ee ff 9f b1 ef 7f 9f 63 c7 6f f1 67 87 b3 fe d7 83 bc 00 a1 f0 df c0 a0 7e 07 e0 
d1be WolfJumpingLeft2, Address = 0xd1be, Width = 4, HeightInPixels = 24, SpriteData = 07 b8 00 00 f9 e1 00 00 f9 df a0 00 8f f4 c0 00 7f fb 78 00 07 fd d0 00 01 fe 98 00 00 f7 fc 00 0e 17 4e 00 1f e6 f6 00 79 fe ff 00 76 3e ff c0 0e 06 ff f0 70 01 ef fc c0 00 ef fa c0 00 1f ae 00 00 1f 3b 00 00 17 f2 00 00 09 f7 00 00 01 19 00 00 01 9d 00 00 01 8e 00 00 01 87 00 00 00 c3 
d220 WolfJumpingRight2, Address = 0xd220, Width = 4, HeightInPixels = 24, SpriteData = 00 00 1d e0 00 00 87 9f 00 05 fb 9f 00 03 2f f1 00 1e df fe 00 0b bf e0 00 19 7f 80 00 3f ef 00 00 72 e8 70 00 6f 67 f8 00 ff 7f 9e 03 ff 7c 6e 0f ff 60 70 3f f7 80 0e 5f f7 00 03 75 f4 00 03 d3 f4 00 00 4f e8 00 00 ef 90 00 00 98 80 00 00 b9 80 00 00 71 80 00 00 e1 80 00 00 c3 00 00 00 
d282 SabreManFallingRight1, Address = 0xd282, Width = 2, HeightInPixels = 22, SpriteData = 06 7c 03 e2 01 9e 02 dd 0d 6b 0f b8 03 da 03 ee 00 f6 1c 60 13 ea 0f df 0e 3a 01 fa 01 34 01 d4 63 e8 79 c8 3c 00 30 00 00 00 00 00 
d2b0 SabreManFallingRight2, Address = 0xd2b0, Width = 2, HeightInPixels = 18, SpriteData = 03 e0 07 30 3a e8 0c e8 03 28 04 c8 1b 38 1f cc 07 e0 00 04 02 6e 06 34 07 34 07 34 86 44 ce 74 ef e4 ef c0 
